0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.25348967,0.23606232,0.2089112,0.24706775,0.22794804,0.043231357,0.21473977,0.21926104,0.25192142,0.26435447,0.2329827,0.036314204,0.25984558,0.23557779,0.23237285,0.2353186,0.22445813,0.06523742,0.24362601,0.24267694,0.23409781,0.22351524,0.22990663,0.039815024
0.52162105,0.4478692,0.4046473,0.53284043,0.3993247,0.02373999,0.45021778,0.45782593,0.5436465,0.57728696,0.4833784,0.01976204,0.5505705,0.4888031,0.50457853,0.4985093,0.45516482,0.083705544,0.5132253,0.49406254,0.48794198,0.4584431,0.47771877,0.008735012
0.6784066,0.5685333,0.5161059,0.7030054,0.49702346,0.020930592,0.58436334,0.5920955,0.7145111,0.76134014,0.625196,0.017991424,0.7208468,0.63775915,0.6603998,0.6528644,0.59067124,0.101272166,0.6710151,0.636932,0.63724333,0.5935603,0.620331,0.0008164458
0.2807054,0.2582094,0.23004088,0.27684492,0.24538244,0.03798932,0.23979832,0.2442255,0.28243825,0.2959962,0.2600299,0.032172598,0.2896535,0.26243094,0.2614742,0.2632197,0.24882561,0.064328864,0.27186304,0.26989,0.2610674,0.24886617,0.2565151,0.033581637
0.2292359,0.21547954,0.19052798,0.22148147,0.21196586,0.04954756,0.19386527,0.19781311,0.22525588,0.23574714,0.20924301,0.041667476,0.23303276,0.21302485,0.20748958,0.21106946,0.20362596,0.06625541,0.218767,0.21932611,0.21181269,0.20249513,0.20663515,0.0448012
0.32319158,0.29256907,0.26072598,0.32229215,0.2726993,0.033202387,0.27748704,0.28235823,0.32961345,0.34611538,0.29963437,0.02908772,0.33622563,0.30195954,0.30473077,0.30492768,0.28526285,0.06685469,0.315202,0.30999377,0.30163068,0.28615698,0.29634482,0.029017333
0.31320947,0.28465468,0.25383836,0.31142944,0.266369,0.034145802,0.26900145,0.27374744,0.31845552,0.33418182,0.29063028,0.029311378,0.32525006,0.2928148,0.29473042,0.29505762,0.27681643,0.06611689,0.30504566,0.3008569,0.2921148,0.27741376,0.28707558,0.029483942
0.2420426,0.22682597,0.20002028,0.23500805,0.21982396,0.045724362,0.2055061,0.21038643,0.23980673,0.2511017,0.22245765,0.03760743,0.24754918,0.22554111,0.22159281,0.22440903,0.21561591,0.06551529,0.23205112,0.23327284,0.22383192,0.21403888,0.21980485,0.041968573
0.5532572,0.47207034,0.42752367,0.5664237,0.41931164,0.022938289,0.4763195,0.4846181,0.57752997,0.6147458,0.5119997,0.01914658,0.5846925,0.51846284,0.53543735,0.5289803,0.48220938,0.08662169,0.54450506,0.52231693,0.51755583,0.48575163,0.50599116,0.0058073625
0.48981342,0.4233581,0.38180012,0.49912184,0.37903643,0.024559852,0.42299294,0.43031043,0.50937945,0.54010797,0.45431334,0.020330574,0.5164064,0.45885968,0.47300494,0.46758544,0.4279965,0.08059831,0.4816541,0.46510354,0.45828485,0.43107414,0.44895345,0.011219103
0.2334113,0.21942435,0.19344261,0.22624752,0.214661,0.046319034,0.19769295,0.201642,0.23088753,0.24176188,0.21338108,0.040152017,0.23775068,0.21709144,0.2124247,0.21563171,0.20754707,0.064522035,0.22360899,0.22375031,0.21631774,0.20694184,0.21181151,0.042965174
0.42323786,0.37173706,0.33375716,0.42828518,0.33694354,0.026632613,0.36519837,0.3716554,0.43780452,0.4628006,0.39292127,0.022843204,0.44445032,0.39596462,0.40583462,0.40248162,0.37055528,0.07460366,0.41568637,0.4035532,0.39581704,0.37325397,0.38809428,0.017283116
0.2949053,0.27006343,0.24031173,0.29194027,0.25454456,0.03612893,0.2528065,0.25744176,0.29838753,0.3129121,0.27334994,0.030563649,0.30539602,0.27577874,0.27611464,0.2770393,0.26111642,0.06498344,0.28644866,0.2835977,0.27473187,0.26137602,0.2700118,0.031677343
0.6355107,0.5354269,0.48546574,0.65525,0.47036374,0.021446422,0.54686403,0.5546403,0.66665536,0.7108828,0.5865427,0.01704862,0.6739774,0.5972432,0.6179843,0.61016345,0.55424935,0.095292844,0.62692,0.5980623,0.59517694,0.5567703,0.5807476,0.00061668083
0.27617583,0.25451246,0.2268646,0.27170518,0.24245459,0.0396249,0.23567428,0.239892,0.27716032,0.2903591,0.25531307,0.032920707,0.28478974,0.2576517,0.25619978,0.2582762,0.24475768,0.06483454,0.26711723,0.26474386,0.2567286,0.24427181,0.25170803,0.03497187
0.5884063,0.49943408,0.45235133,0.6046902,0.44124782,0.022187322,0.5074611,0.51558197,0.6159235,0.6555484,0.5440489,0.018096946,0.62289655,0.55210197,0.57139397,0.56392556,0.51319367,0.0903139,0.5799216,0.55528784,0.5512448,0.5162138,0.5384952,0.0038864315
0.40802175,0.3597814,0.32272282,0.4122707,0.32699472,0.027492695,0.3523903,0.35864943,0.4211639,0.44460192,0.37913287,0.022880174,0.42829123,0.3820731,0.39100784,0.3880952,0.35804996,0.07325438,0.40034378,0.3901053,0.38153094,0.36007667,0.3745529,0.018457357
0.587132,0.49818408,0.45168725,0.6027275,0.44033152,0.02230537,0.5060536,0.51416314,0.613924,0.65378106,0.5429292,0.017727498,0.6213727,0.55103356,0.570115,0.56249046,0.51215905,0.08988448,0.57806104,0.5540957,0.54947364,0.51505303,0.5370376,0.0034948476
0.31088373,0.28270996,0.25209245,0.30897593,0.26488385,0.03453592,0.2666379,0.27157506,0.31588423,0.33160973,0.28840274,0.029750686,0.3226994,0.29061994,0.29211798,0.29271042,0.27473944,0.066132605,0.3026755,0.2984362,0.28986508,0.27541357,0.28479284,0.029919878
