0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0.25348967,0.23606232,0.2089112,0.24706775,0.22794804,0.043231357,0.21473977,0.21926104,0.25192142,0.26435447,0.2329827,0.036314204,0.25984558,0.23557779,0.23237285,0.2353186,0.22445813,0.06523742,0.24362601,0.24267694,0.23409781,0.22351524,0.22990663,0.039815024,0.24781547,0.24350217,0.24118507,0.22343212,0.21831694,0.057433594,0.22057603,0.22990629,0.2345598,0.2537148,0.26092964,0.043006286,0.24624178,0.23009731,0.24935389,0.2221188,0.24691066,0.049478024,0.24484384,0.24362034,0.25924528,0.222914,0.26187813,0.030737879,0.26351818,0.2310567,0.22180268,0.24392723,0.26783764,0.052618198,0.22344439,0.21910968,0.2187978,0.26402217,0.22799337,0.0322221,0.24768284,0.24157597,0.23897234,0.22649664,0.25703424,0.064264655,0.23287196,0.24681535,0.24790743,0.25433996,0.21629582,0.026421975
0.52162105,0.4478692,0.4046473,0.53284043,0.3993247,0.02373999,0.45021778,0.45782593,0.5436465,0.57728696,0.4833784,0.01976204,0.5505705,0.4888031,0.50457853,0.4985093,0.45516482,0.083705544,0.5132253,0.49406254,0.48794198,0.4584431,0.47771877,0.008735012,0.50040793,0.4898836,0.5334537,0.46650326,0.4571954,0.0650885,0.4377996,0.45504487,0.4695561,0.55073875,0.5258769,-0.013206515,0.51746196,0.4643852,0.5117426,0.4450082,0.52594256,0.080355786,0.5381475,0.50159776,0.5339916,0.41294563,0.5588777,-0.020561568,0.51441485,0.476338,0.4401964,0.46280372,0.5872246,0.07536702,0.47549355,0.45454162,0.47138968,0.5964218,0.45120198,0.004170403,0.5111283,0.53141975,0.476533,0.4796039,0.5190976,0.086381145,0.4565199,0.50743735,0.50728834,0.5390644,0.43822652,-0.03856499
0.6784066,0.5685333,0.5161059,0.7030054,0.49702346,0.020930592,0.58436334,0.5920955,0.7145111,0.76134014,0.625196,0.017991424,0.7208468,0.63775915,0.6603998,0.6528644,0.59067124,0.101272166,0.6710151,0.636932,0.63724333,0.5935603,0.620331,0.0008164458,0.65258443,0.63507247,0.71109647,0.61258996,0.60360813,0.07362591,0.5664133,0.59157026,0.6102725,0.730464,0.6907671,-0.042926308,0.6852385,0.60361207,0.673775,0.5825076,0.6935711,0.10575275,0.7168391,0.6562456,0.6991706,0.5257227,0.74020565,-0.047489442,0.66201806,0.61836267,0.56550545,0.5876772,0.772915,0.096220315,0.6240551,0.5891373,0.6190202,0.79179096,0.579206,-0.005698055,0.6648889,0.701229,0.61278236,0.6249767,0.67148495,0.10695949,0.58979,0.6588058,0.6614661,0.70569897,0.5677751,-0.07320392
0.2807054,0.2582094,0.23004088,0.27684492,0.24538244,0.03798932,0.23979832,0.2442255,0.28243825,0.2959962,0.2600299,0.032172598,0.2896535,0.26243094,0.2614742,0.2632197,0.24882561,0.064328864,0.27186304,0.26989,0.2610674,0.24886617,0.2565151,0.033581637,0.27320644,0.2677322,0.27033764,0.24780262,0.24146345,0.058618125,0.24204776,0.25218964,0.25760582,0.28360724,0.2859918,0.038007528,0.27266607,0.25379875,0.27410308,0.24417278,0.27415,0.0539197,0.2736818,0.2686676,0.2865497,0.24174963,0.29023346,0.024495322,0.28759074,0.25600126,0.24424857,0.26597658,0.29968628,0.051429868,0.24770081,0.24338964,0.24408855,0.29702783,0.2504595,0.027736677,0.27414325,0.2698704,0.2628167,0.25145096,0.28234786,0.06466789,0.25509077,0.27343553,0.27312627,0.28138512,0.23833336,0.01950156
0.2292359,0.21547954,0.19052798,0.22148147,0.21196586,0.04954756,0.19386527,0.19781311,0.22525588,0.23574714,0.20924301,0.041667476,0.23303276,0.21302485,0.20748958,0.21106946,0.20362596,0.06625541,0.218767,0.21932611,0.21181269,0.20249513,0.20663515,0.0448012,0.22555369,0.22007215,0.21384314,0.20022798,0.19514777,0.061050817,0.2002596,0.20896006,0.21257292,0.22671306,0.23647738,0.052382156,0.22142173,0.2084248,0.22487521,0.20044059,0.22032608,0.051610693,0.21819866,0.2194254,0.23340909,0.20476963,0.23461747,0.03727744,0.24115789,0.20817722,0.20122862,0.22396742,0.23897545,0.054435495,0.2019193,0.1972124,0.19603336,0.23380321,0.20726976,0.037665926,0.22487615,0.21541147,0.21708664,0.20435528,0.23330405,0.06437374,0.21208188,0.22271189,0.22476983,0.22911699,0.1957089,0.033633024
0.32319158,0.29256907,0.26072598,0.32229215,0.2726993,0.033202387,0.27748704,0.28235823,0.32961345,0.34611538,0.29963437,0.02908772,0.33622563,0.30195954,0.30473077,0.30492768,0.28526285,0.06685469,0.315202,0.30999377,0.30163068,0.28615698,0.29634482,0.029017333,0.31294408,0.30757022,0.31663457,0.28713924,0.2802049,0.05689863,0.27699614,0.28777534,0.29569674,0.33032888,0.32807687,0.026753249,0.31577682,0.29084644,0.31554446,0.27949545,0.3190552,0.056075897,0.32002577,0.30999392,0.3308435,0.2725571,0.33810017,0.015176777,0.32783055,0.2952605,0.27914304,0.3003101,0.35046285,0.052516155,0.28749895,0.28175196,0.28412145,0.35033494,0.2857911,0.022663299,0.31591913,0.3166863,0.30124536,0.2924028,0.324017,0.06685039,0.29050457,0.31567323,0.3140998,0.32709002,0.2732675,0.0073357113
0.31320947,0.28465468,0.25383836,0.31142944,0.266369,0.034145802,0.26900145,0.27374744,0.31845552,0.33418182,0.29063028,0.029311378,0.32525006,0.2928148,0.29473042,0.29505762,0.27681643,0.06611689,0.30504566,0.3008569,0.2921148,0.27741376,0.28707558,0.029483942,0.30356207,0.2979071,0.30557498,0.27770004,0.27093452,0.05683186,0.26870003,0.27932918,0.286556,0.31937772,0.31803614,0.029662583,0.3055552,0.28211567,0.30586284,0.2712176,0.3081261,0.05544834,0.30898774,0.29991633,0.3203373,0.2652856,0.3266145,0.017172318,0.31813744,0.28579673,0.2707976,0.29218382,0.33823884,0.051810447,0.2780363,0.27274024,0.2747536,0.33764178,0.27748504,0.023645202,0.30610168,0.30563062,0.29214394,0.28283343,0.31392458,0.065904796,0.28217638,0.30551994,0.30442154,0.3164053,0.26503026,0.009800579
0.2420426,0.22682597,0.20002028,0.23500805,0.21982396,0.045724362,0.2055061,0.21038643,0.23980673,0.2511017,0.22245765,0.03760743,0.24754918,0.22554111,0.22159281,0.22440903,0.21561591,0.06551529,0.23205112,0.23327284,0.22383192,0.21403888,0.21980485,0.041968573,0.23805097,0.2333915,0.22888681,0.21336421,0.20837694,0.05967059,0.21189255,0.22033462,0.22473535,0.24189213,0.24988437,0.04877844,0.23499191,0.22061948,0.23836513,0.21208355,0.23480263,0.051926207,0.23274785,0.23251356,0.24733159,0.21451268,0.24992518,0.034232244,0.25330785,0.22085783,0.21192122,0.23511356,0.2549458,0.052908268,0.21376386,0.20893882,0.20930594,0.24997601,0.2184551,0.03357347,0.23763126,0.22916982,0.22884615,0.21678545,0.24605674,0.06274596,0.2233192,0.23545703,0.23744181,0.24259275,0.20731449,0.028956944
0.5532572,0.47207034,0.42752367,0.5664237,0.41931164,0.022938289,0.4763195,0.4846181,0.57752997,0.6147458,0.5119997,0.01914658,0.5846925,0.51846284,0.53543735,0.5289803,0.48220938,0.08662169,0.54450506,0.52231693,0.51755583,0.48575163,0.50599116,0.0058073625,0.5311476,0.5182143,0.56826943,0.4958226,0.4861058,0.06729391,0.4630309,0.4827662,0.49772352,0.5862887,0.5588927,-0.019563567,0.550751,0.49254704,0.5437115,0.4721956,0.55903137,0.08507779,0.57379234,0.5327646,0.56719035,0.435192,0.5944302,-0.026666813,0.54397196,0.50492525,0.46538597,0.4883089,0.62437177,0.080529705,0.50525564,0.48093122,0.50107354,0.63521254,0.47731507,0.0016012676,0.54159445,0.5648676,0.50357723,0.5085193,0.55008477,0.09058661,0.4831766,0.5372914,0.5381614,0.57226765,0.46463418,-0.04496665
0.48981342,0.4233581,0.38180012,0.49912184,0.37903643,0.024559852,0.42299294,0.43031043,0.50937945,0.54010797,0.45431334,0.020330574,0.5164064,0.45885968,0.47300494,0.46758544,0.4279965,0.08059831,0.4816541,0.46510354,0.45828485,0.43107414,0.44895345,0.011219103,0.4700667,0.46070826,0.49843952,0.43750733,0.42860824,0.06336453,0.41209936,0.42793214,0.44125548,0.515316,0.49359933,-0.0067734756,0.4846148,0.43645734,0.47983724,0.41813698,0.49257505,0.07604134,0.50271344,0.4706564,0.50125694,0.3902984,0.5230422,-0.014988922,0.4845146,0.44749677,0.41473788,0.43703312,0.54957527,0.07068404,0.44552487,0.4274811,0.44141716,0.55709827,0.4249686,0.0068646073,0.48025644,0.49727014,0.44885343,0.45007288,0.48795736,0.082671136,0.42988634,0.4770205,0.4762196,0.5052035,0.41171038,-0.031593952
