0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.25348967,0.23606232,0.2089112,0.24706775,0.22794804,0.043231357,0.21473977,0.21926104,0.25192142,0.26435447,0.2329827,0.036314204,0.25984558,0.23557779,0.23237285,0.2353186,0.22445813,0.06523742,0.24362601,0.24267694,0.23409781,0.22351524,0.22990663,0.039815024,0.24781547,0.24350217,0.24118507,0.22343212,0.21831694,0.057433594,0.22057603,0.22990629,0.2345598,0.2537148,0.26092964,0.043006286,0.24624178,0.23009731,0.24935389,0.2221188,0.24691066,0.049478024,0.24484384,0.24362034,0.25924528,0.222914,0.26187813,0.030737879
0.52162105,0.4478692,0.4046473,0.53284043,0.3993247,0.02373999,0.45021778,0.45782593,0.5436465,0.57728696,0.4833784,0.01976204,0.5505705,0.4888031,0.50457853,0.4985093,0.45516482,0.083705544,0.5132253,0.49406254,0.48794198,0.4584431,0.47771877,0.008735012,0.50040793,0.4898836,0.5334537,0.46650326,0.4571954,0.0650885,0.4377996,0.45504487,0.4695561,0.55073875,0.5258769,-0.013206515,0.51746196,0.4643852,0.5117426,0.4450082,0.52594256,0.080355786,0.5381475,0.50159776,0.5339916,0.41294563,0.5588777,-0.020561568
0.6784066,0.5685333,0.5161059,0.7030054,0.49702346,0.020930592,0.58436334,0.5920955,0.7145111,0.76134014,0.625196,0.017991424,0.7208468,0.63775915,0.6603998,0.6528644,0.59067124,0.101272166,0.6710151,0.636932,0.63724333,0.5935603,0.620331,0.0008164458,0.65258443,0.63507247,0.71109647,0.61258996,0.60360813,0.07362591,0.5664133,0.59157026,0.6102725,0.730464,0.6907671,-0.042926308,0.6852385,0.60361207,0.673775,0.5825076,0.6935711,0.10575275,0.7168391,0.6562456,0.6991706,0.5257227,0.74020565,-0.047489442
0.2807054,0.2582094,0.23004088,0.27684492,0.24538244,0.03798932,0.23979832,0.2442255,0.28243825,0.2959962,0.2600299,0.032172598,0.2896535,0.26243094,0.2614742,0.2632197,0.24882561,0.064328864,0.27186304,0.26989,0.2610674,0.24886617,0.2565151,0.033581637,0.27320644,0.2677322,0.27033764,0.24780262,0.24146345,0.058618125,0.24204776,0.25218964,0.25760582,0.28360724,0.2859918,0.038007528,0.27266607,0.25379875,0.27410308,0.24417278,0.27415,0.0539197,0.2736818,0.2686676,0.2865497,0.24174963,0.29023346,0.024495322
0.2292359,0.21547954,0.19052798,0.22148147,0.21196586,0.04954756,0.19386527,0.19781311,0.22525588,0.23574714,0.20924301,0.041667476,0.23303276,0.21302485,0.20748958,0.21106946,0.20362596,0.06625541,0.218767,0.21932611,0.21181269,0.20249513,0.20663515,0.0448012,0.22555369,0.22007215,0.21384314,0.20022798,0.19514777,0.061050817,0.2002596,0.20896006,0.21257292,0.22671306,0.23647738,0.052382156,0.22142173,0.2084248,0.22487521,0.20044059,0.22032608,0.051610693,0.21819866,0.2194254,0.23340909,0.20476963,0.23461747,0.03727744
0.32319158,0.29256907,0.26072598,0.32229215,0.2726993,0.033202387,0.27748704,0.28235823,0.32961345,0.34611538,0.29963437,0.02908772,0.33622563,0.30195954,0.30473077,0.30492768,0.28526285,0.06685469,0.315202,0.30999377,0.30163068,0.28615698,0.29634482,0.029017333,0.31294408,0.30757022,0.31663457,0.28713924,0.2802049,0.05689863,0.27699614,0.28777534,0.29569674,0.33032888,0.32807687,0.026753249,0.31577682,0.29084644,0.31554446,0.27949545,0.3190552,0.056075897,0.32002577,0.30999392,0.3308435,0.2725571,0.33810017,0.015176777
0.31320947,0.28465468,0.25383836,0.31142944,0.266369,0.034145802,0.26900145,0.27374744,0.31845552,0.33418182,0.29063028,0.029311378,0.32525006,0.2928148,0.29473042,0.29505762,0.27681643,0.06611689,0.30504566,0.3008569,0.2921148,0.27741376,0.28707558,0.029483942,0.30356207,0.2979071,0.30557498,0.27770004,0.27093452,0.05683186,0.26870003,0.27932918,0.286556,0.31937772,0.31803614,0.029662583,0.3055552,0.28211567,0.30586284,0.2712176,0.3081261,0.05544834,0.30898774,0.29991633,0.3203373,0.2652856,0.3266145,0.017172318
0.2420426,0.22682597,0.20002028,0.23500805,0.21982396,0.045724362,0.2055061,0.21038643,0.23980673,0.2511017,0.22245765,0.03760743,0.24754918,0.22554111,0.22159281,0.22440903,0.21561591,0.06551529,0.23205112,0.23327284,0.22383192,0.21403888,0.21980485,0.041968573,0.23805097,0.2333915,0.22888681,0.21336421,0.20837694,0.05967059,0.21189255,0.22033462,0.22473535,0.24189213,0.24988437,0.04877844,0.23499191,0.22061948,0.23836513,0.21208355,0.23480263,0.051926207,0.23274785,0.23251356,0.24733159,0.21451268,0.24992518,0.034232244
0.5532572,0.47207034,0.42752367,0.5664237,0.41931164,0.022938289,0.4763195,0.4846181,0.57752997,0.6147458,0.5119997,0.01914658,0.5846925,0.51846284,0.53543735,0.5289803,0.48220938,0.08662169,0.54450506,0.52231693,0.51755583,0.48575163,0.50599116,0.0058073625,0.5311476,0.5182143,0.56826943,0.4958226,0.4861058,0.06729391,0.4630309,0.4827662,0.49772352,0.5862887,0.5588927,-0.019563567,0.550751,0.49254704,0.5437115,0.4721956,0.55903137,0.08507779,0.57379234,0.5327646,0.56719035,0.435192,0.5944302,-0.026666813
0.48981342,0.4233581,0.38180012,0.49912184,0.37903643,0.024559852,0.42299294,0.43031043,0.50937945,0.54010797,0.45431334,0.020330574,0.5164064,0.45885968,0.47300494,0.46758544,0.4279965,0.08059831,0.4816541,0.46510354,0.45828485,0.43107414,0.44895345,0.011219103,0.4700667,0.46070826,0.49843952,0.43750733,0.42860824,0.06336453,0.41209936,0.42793214,0.44125548,0.515316,0.49359933,-0.0067734756,0.4846148,0.43645734,0.47983724,0.41813698,0.49257505,0.07604134,0.50271344,0.4706564,0.50125694,0.3902984,0.5230422,-0.014988922
